| dtime      | temp      | humidity      |
| 20140130201638 | 140       | 42            |
| 20140130201653 | 140       | 42            |
| 20140130201723 | 140       | 42            |
| 20140130201809 | 140       | 42            |
| 20140130201854 | 140       | 42            |
| 20140130201909 | 140       | 42            |
| 20140130201939 | 140       | 42            |
| 20140130201955 | 140       | 42            |
| 20140130202025 | 140       | 42            |
| 20140130202040 | 140       | 42            |
| 20140130202441 | 140       | 42            |
| 20140130202527 | 140       | 42            |
| 20140130202612 | 140       | 42            |
| 20140130202658 | 140       | 42            |
| 20140130202743 | 140       | 42            |
| 20140130202828 | 140       | 42            |
| 20140130202913 | 150       | 41            |
| 20140130202959 | 150       | 41            |
| 20140130203014 | 150       | 41            |
| 20140130203044 | 150       | 41            |
| 20140130203059 | 150       | 41            |
| 20140130203130 | 150       | 41            |
| 20140130203145 | 150       | 41            |
| 20140130203215 | 150       | 41            |
| 20140130203300 | 150       | 41            |
| 20140130203401 | 150       | 41            |
| 20140130203446 | 150       | 41            |
| 20140130203531 | 150       | 41            |
| 20140130203546 | 150       | 41            |
| 20140130203632 | 150       | 41            |
| 20140130203717 | 150       | 41            |
| 20140130204250 | 150       | 41            |
| 20140130204405 | 150       | 41            |
| 20140130204420 | 150       | 41            |
| 20140130204451 | 150       | 41            |
| 20140130204506 | 150       | 41            |
| 20140130204536 | 150       | 41            |
| 20140130204551 | 150       | 41            |
| 20140130204621 | 150       | 41            |
| 20140130204707 | 150       | 41            |
| 20140130204752 | 150       | 41            |
| 20140130204807 | 150       | 41            |
| 20140130204837 | 150       | 41            |
| 20140130204853 | 150       | 41            |
| 20140130204923 | 150       | 41            |
| 20140130204953 | 150       | 41            |
| 20140130205023 | 150       | 41            |
| 20140130205038 | 150       | 41            |
| 20140130205109 | 150       | 41            |
| 20140130205124 | 150       | 41            |
| 20140130205154 | 150       | 41            |
| 20140130205239 | 150       | 41            |
| 20140130205325 | 150       | 41            |
| 20140130205340 | 150       | 41            |
| 20140130205410 | 150       | 41            |
| 20140130205425 | 150       | 41            |
| 20140130205455 | 150       | 41            |
| 20140130205541 | 150       | 41            |
| 20140130205626 | 150       | 41            |
| 20140130205641 | 140       | 42            |
| 20140130205656 | 140       | 42            |
| 20140130205741 | 140       | 42            |
| 20140130205827 | 140       | 42            |
| 20140130205912 | 140       | 42            |
| 20140130205957 | 140       | 42            |
| 20140130210043 | 140       | 42            |
| 20140130210128 | 140       | 42            |
| 20140130210213 | 140       | 42            |
| 20140130210259 | 140       | 42            |
| 20140130210344 | 140       | 42            |
| 20140130210359 | 140       | 42            |
| 20140130210429 | 140       | 42            |
| 20140130210444 | 140       | 42            |
| 20140130210515 | 140       | 42            |
| 20140130210530 | 150       | 41            |
| 20140130210615 | 140       | 42            |
| 20140130210700 | 150       | 41            |
| 20140130210746 | 140       | 42            |
| 20140130210831 | 140       | 42            |
| 20140130210916 | 140       | 42            |
| 20140130211032 | 140       | 42            |
| 20140130211047 | 140       | 42            |
| 20140130211102 | 140       | 42            |
| 20140130211534 | 140       | 42            |
| 20140130211620 | 140       | 42            |
| 20140130211705 | 140       | 42            |
| 20140130211750 | 140       | 42            |
| 20140130211836 | 140       | 42            |
| 20140130211851 | 140       | 42            |
| 20140130211921 | 140       | 42            |
| 20140130211936 | 140       | 42            |
| 20140130212006 | 140       | 42            |
| 20140130212052 | 140       | 42            |
| 20140130212152 | 140       | 42            |
| 20140130212222 | 140       | 42            |
| 20140130212237 | 140       | 42            |
| 20140130212308 | 140       | 42            |
| 20140130212323 | 140       | 42            |
